iter	Passed	Remaining
0	179	10766311	249	7453222	296	5890733	339	5064344	369	4402155	423	4189066	480	4071677	534	3954288	585	3845799	635	37523110	674	36109111	725	35532
12	774	34989
13	834	34926
14	917	35781
15	965	35228
16	1033	35431
17	1095	35432
18	1150	35189
19	1196	34711
20	1247	34400
21	1301	34204
22	1373	34456
23	1437	34496
24	1494	34382
25	1542	34061
26	1596	33876
27	1649	33697
28	1694	33363
29	1743	33128
30	1791	32876
31	1852	32884
32	1909	32817
33	1957	32585
34	2012	32488
35	2050	32131
36	2089	31790
37	2122	31396
38	2147	30893
39	2168	30360
40	2196	29942
41	2223	29538
42	2247	29108
43	2273	28725
44	2304	28419
45	2332	28090
46	2354	27698
47	2377	27336
48	2403	27029
49	2428	26714
50	2453	26408
51	2482	26162
52	2510	25910
53	2508	25366
54	2544	25209
55	2576	25026
56	2604	24812
57	2632	24602
58	2667	24460
59	2697	24277
60	2727	24104
61	2755	23911
62	2788	23768
63	2816	23588
64	2855	23500
65	2880	23306
66	2912	23171
67	2940	23005
68	2971	22870
69	3003	22741
70	3035	22616
71	3064	22473
72	3094	22337
73	3116	22151
74	3148	22036
75	3176	21904
76	3208	21793
77	3238	21672
78	3266	21539
79	3290	21389
80	3319	21270
81	3358	21213
82	3392	21128
83	3419	21007
84	3449	20901
85	3484	20828
86	3518	20747
87	3549	20648
88	3581	20562
89	3613	20476
90	3642	20375
91	3676	20300
92	3708	20218
93	3731	20087
94	3758	19981
95	3790	19901
96	3823	19828
97	3853	19741
98	3892	19700
99	3925	19625
100	3955	19540
101	3985	19458
102	4016	19381
103	4045	19292
104	4077	19223
105	4106	19138
106	4129	19026
107	4159	18949
108	4189	18872
109	4217	18786
110	4251	18728
111	4276	18633
112	4304	18553
113	4335	18484
114	4367	18418
115	4389	18313
116	4419	18244
117	4458	18213
118	4491	18153
119	4519	18076
120	4548	18007
121	4578	17937
122	4607	17867
123	4642	17820
124	4673	17759
125	4705	17700
126	4730	17619
127	4758	17546
128	4791	17494
129	4814	17405
130	4841	17334
131	4873	17279
132	4897	17197
133	4922	17119
134	4955	17067
135	4988	17017
136	5015	16948
137	5041	16876
138	5071	16821
139	5096	16746
140	5122	16675
141	5155	16626
142	5186	16574
143	5214	16511
144	5238	16437
145	5265	16372
146	5295	16318
147	5320	16250
148	5345	16180
149	5376	16130
150	5412	16093
151	5440	16036
152	5467	15974
153	5497	15921
154	5528	15870
155	5559	15821
156	5584	15757
157	5617	15715
158	5646	15661
159	5679	15618
160	5708	15565
161	5734	15504
162	5758	15439
163	5792	15398
164	5822	15351
165	5850	15295
166	5876	15236
167	5903	15181
168	5933	15132
169	5965	15088
170	5992	15033
171	6022	14986
172	6050	14934
173	6076	14876
174	6104	14824
175	6135	14780
176	6162	14726
177	6186	14667
178	6213	14614
179	6241	14564
180	6264	145181181	6298	144182182	6330	144183183	6357	143184184	6383	143185185	6412	142186186	6447	142187187	6480	142188188	6504	141189189	6535	141190190	6567	140191191	6602	140192192	6628	139193193	6657	139194194	6687	138195195	6717	138196196	6741	137197197	6768	137198	6819	13741
199	6846	13692
200	6876	13650
201	6913	13620
202	6946	13585
203	6973	13536
204	7006	13499
205	7042	13468
206	7073	13429
207	7110	13399
208	7145	13367
209	7177	13330
210	7207	13286
211	7238	13248
212	7264	13199
213	7295	13159
214	7329	13124
215	7367	13097
216	7399	13059
217	7429	13018
218	7459	12978
219	7491	12939
220	7527	12908
221	7559	12870
222	7588	12829
223	7613	12780
224	7643	12738
225	7678	12707
226	7703	12658
227	7731	12614
228	7764	12579
229	7791	12534
230	7822	12495
231	7850	12452
232	7884	12419
233	7918	12385
234	7947	12344
235	7984	12314
236	8014	12276
237	8045	12237
238	8072	12192
239	8109	12163
240	8145	12134
241	8168	12084
242	8196	12041
243	8226	12003
244	8259	11967
245	8286	11924
246	8315	11883
247	8353	11856
248	8383	11818
249	8416	11783
250	8446	11744
251	8478	11708
252	8512	11674
253	8540	11633
254	8569	11593
255	8602	11559
256	8626	11513
257	8660	11479
258	8696	11449
259	8735	11422
260	8772	11394
261	8797	11349
262	8832	11317
263	8857	11273
264	8887	11235
265	8926	11208
266	8960	11174
267	8989	11136
268	9015	11093
269	9049	11060
270	9077	11020
271	9105	10980
272	9137	10945
273	9174	10915
274	9207	10881
275	9235	10842
276	9268	10808
277	9301	10773
278	9348	10755
279	9372	10710
280	9400	10671
281	9432	10636
282	9458	10594
283	9486	10554
284	9518	10520
285	9546	10480
286	9584	10453
287	9616	10418
